"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","WaterStrike_ConstructionCompletionDate","WaterStrike_YieldMeasurementMethod","WaterStrike_WaterStrikeType","WaterStrike_SeepageValue","WaterStrike_DepthToTop","WaterStrike_DepthToBottom","WaterStrike_TotalBlowYieldValue","WaterStrike_ContributionValue"
"Dept Water - Pretoria","2525DA00037","Borehole","-25.55060","25.71632","1922-04-04",,"Individual Contribution",,"31.39",,"1.2001","1.2"
"Dept Water - Pretoria","2525DA00037","Borehole","-25.55060","25.71632","1922-04-04",,"Individual Contribution","0.0001","8.53",,"1.2001",
"Dept Water - Pretoria","2525DA00038","Borehole","-25.55060","25.71633","1930-07-26",,"Total Seepage","0.0001","20.73",,,
"Dept Water - Pretoria","2525DB00270","Borehole","-25.55060","25.76632","1921-11-18","Estimated","Individual Contribution",,"23.77",,"0.5001","0.5"
"Dept Water - Pretoria","2525DB00270","Borehole","-25.55060","25.76632","1921-11-18","Estimated","Individual Contribution","0.0001","9.75",,"0.5001",
"Dept Water - Pretoria","2525DB00271","Borehole","-25.55060","25.76633","1921-12-14","Float Principle (Thalimedes)","Total Yield",,"7.32",,"0.9100",
"Dept Water - Pretoria","2525DB00183","Borehole","-25.55060","25.98298","1988-09-27",,"Total Seepage","0.0001","198.00",,,
"Dept Water - Pretoria","2525DB00184","Borehole","-25.55060","25.98299","1988-09-29",,"Total Seepage","0.0001","96.00",,,
"Dept Water - Pretoria","2526CA00231","Borehole","-25.55060","26.06634","1962-12-18",,"Total Seepage","0.0400","53.34",,,
"Dept Water - Pretoria","2526CA00232","Borehole","-25.55060","26.06635","1963-01-15",,"Total Seepage","0.0001","71.63",,,
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","",,"",,,,,
"Dept Water - Pretoria","2525DA00051","Borehole","-25.55059","25.71632","1963-05-06","Float Principle (Thalimedes)","Total Yield",,"38.40",,"0.2800",
"Dept Water - Pretoria","2525DB00268","Borehole","-25.55059","25.76632","1979-02-20","Float Principle (Thalimedes)","Total Yield",,"43.00",,"0.7200",
"Dept Water - Pretoria","2525DB00052","Borehole","-25.55059","25.86576","",,"",,,,,
"Dept Water - Pretoria","2525DB00051","Borehole","-25.55059","25.86577","",,"",,,,,
