"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","OtherNumber_OtherNumberType","OtherNumber_OtherNumber"
"Dept Water - Pretoria","2526CA00502","Borehole","-25.55256","26.05975","NGDB-Number","2526CA00502"
"Dept Water - Pretoria","2526CA00506","Borehole","-25.55249","26.06199","Department of Water Affairs and Forestry Number","KN10"
"Dept Water - Pretoria","2526CA00506","Borehole","-25.55249","26.06199","NGDB-Number","2526CA00506"
"Dept Water - Pretoria","2526CA00501","Borehole","-25.55188","26.05973","Department of Water Affairs and Forestry Number","KN5"
"Dept Water - Pretoria","2526CA00501","Borehole","-25.55188","26.05973","NGDB-Number","2526CA00501"
"Dept Water - Pretoria","2526CA00528","Borehole","-25.55176","26.03181","Department of Water Affairs and Forestry Number","DT11"
"Dept Water - Pretoria","2526CA00528","Borehole","-25.55176","26.03181","NGDB-Number","2526CA00528"
"Dept Water - Pretoria","2526CA00529","Borehole","-25.55151","26.03237","Department of Water Affairs and Forestry Number","DT12"
"Dept Water - Pretoria","2526CA00529","Borehole","-25.55151","26.03237","NGDB-Number","2526CA00529"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516","Boring Branch Number","126348/1"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516","Department of Water Affairs and Forestry Number","TF21"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516","Hydrological Station Number","A1N0002"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516","NGDB-Number","2525DB00004"
"Dept Water - North West","2525DB00004","Borehole","-25.55109","25.91516","Water Level Measuring Point Number","TF21"
"Dept Water - Pretoria","2525DB00353","Borehole","-25.55087","25.86382","NGDB-Number","2525DB00353"
"Dept Water - Pretoria","2525DB00353","Borehole","-25.55087","25.86382","Regional Borehole Number","B0871520"
"Dept Water - Pretoria","2525DB00209","Borehole","-25.55077","25.76649","Boring Branch Number","131336/7"
"Dept Water - Pretoria","2525DB00209","Borehole","-25.55077","25.76649","NGDB-Number","2525DB00209"
"Dept Water - Pretoria","2525DB00269","Borehole","-25.55077","25.76649","Boring Branch Number","000786"
"Dept Water - Pretoria","2525DB00269","Borehole","-25.55077","25.76649","NGDB-Number","2525DB00269"
"Dept Water - Pretoria","2525DB00301","Borehole","-25.55076","25.76648","Boring Branch Number","106232"
"Dept Water - Pretoria","2525DB00301","Borehole","-25.55076","25.76648","NGDB-Number","2525DB00301"
"Dept Water - Pretoria","2525DB00302","Borehole","-25.55076","25.76649","Boring Branch Number","107786"
"Dept Water - Pretoria","2525DB00302","Borehole","-25.55076","25.76649","NGDB-Number","2525DB00302"
"Dept Water - Pretoria","2525DB00299","Borehole","-25.55075","25.76647","Boring Branch Number","094556"
"Dept Water - Pretoria","2525DB00299","Borehole","-25.55075","25.76647","NGDB-Number","2525DB00299"
"Dept Water - Pretoria","2525DB00300","Borehole","-25.55075","25.76648","Boring Branch Number","096240"
"Dept Water - Pretoria","2525DB00300","Borehole","-25.55075","25.76648","NGDB-Number","2525DB00300"
"Dept Water - Pretoria","2525DB00297","Borehole","-25.55074","25.76646","Boring Branch Number","084496"
"Dept Water - Pretoria","2525DB00297","Borehole","-25.55074","25.76646","NGDB-Number","2525DB00297"
"Dept Water - Pretoria","2525DB00298","Borehole","-25.55074","25.76647","Boring Branch Number","085236"
"Dept Water - Pretoria","2525DB00298","Borehole","-25.55074","25.76647","NGDB-Number","2525DB00298"
"Dept Water - Pretoria","2525DB00295","Borehole","-25.55073","25.76645","Boring Branch Number","081445"
"Dept Water - Pretoria","2525DB00295","Borehole","-25.55073","25.76645","NGDB-Number","2525DB00295"
"Dept Water - Pretoria","2525DB00296","Borehole","-25.55073","25.76646","Boring Branch Number","084325"
"Dept Water - Pretoria","2525DB00296","Borehole","-25.55073","25.76646","NGDB-Number","2525DB00296"
"Dept Water - Pretoria","2525DB00293","Borehole","-25.55072","25.76644","Boring Branch Number","081443"
"Dept Water - Pretoria","2525DB00293","Borehole","-25.55072","25.76644","NGDB-Number","2525DB00293"
"Dept Water - Pretoria","2525DB00294","Borehole","-25.55072","25.76645","Boring Branch Number","081444"
"Dept Water - Pretoria","2525DB00294","Borehole","-25.55072","25.76645","NGDB-Number","2525DB00294"
"Dept Water - Pretoria","2525DB00291","Borehole","-25.55071","25.76643","Boring Branch Number","081441"
"Dept Water - Pretoria","2525DB00291","Borehole","-25.55071","25.76643","NGDB-Number","2525DB00291"
"Dept Water - Pretoria","2525DB00292","Borehole","-25.55071","25.76644","Boring Branch Number","081442"
"Dept Water - Pretoria","2525DB00292","Borehole","-25.55071","25.76644","NGDB-Number","2525DB00292"
"Dept Water - Pretoria","2525DB00289","Borehole","-25.55070","25.76636","Boring Branch Number","081439"
"Dept Water - Pretoria","2525DB00289","Borehole","-25.55070","25.76636","NGDB-Number","2525DB00289"
"Dept Water - Pretoria","2525DB00290","Borehole","-25.55070","25.76643","Boring Branch Number","081440"
"Dept Water - Pretoria","2525DB00290","Borehole","-25.55070","25.76643","NGDB-Number","2525DB00290"
"Dept Water - Pretoria","2525DB00287","Borehole","-25.55069","25.76641","Boring Branch Number","067148"
"Dept Water - Pretoria","2525DB00287","Borehole","-25.55069","25.76641","NGDB-Number","2525DB00287"
"Dept Water - Pretoria","2525DB00288","Borehole","-25.55069","25.76642","Boring Branch Number","067648"
"Dept Water - Pretoria","2525DB00288","Borehole","-25.55069","25.76642","NGDB-Number","2525DB00288"
"Dept Water - Pretoria","2525DA00053","Borehole","-25.55068","25.71640","Boring Branch Number","093239"
"Dept Water - Pretoria","2525DA00053","Borehole","-25.55068","25.71640","NGDB-Number","2525DA00053"
"Dept Water - Pretoria","2525DB00286","Borehole","-25.55068","25.76641","Boring Branch Number","067250"
"Dept Water - Pretoria","2525DB00286","Borehole","-25.55068","25.76641","NGDB-Number","2525DB00286"
"Dept Water - Pretoria","2525DA00052","Borehole","-25.55067","25.71640","Boring Branch Number","085945"
"Dept Water - Pretoria","2525DA00052","Borehole","-25.55067","25.71640","NGDB-Number","2525DA00052"
"Dept Water - Pretoria","2525DB00284","Borehole","-25.55067","25.76639","Boring Branch Number","025344"
"Dept Water - Pretoria","2525DB00284","Borehole","-25.55067","25.76639","NGDB-Number","2525DB00284"
"Dept Water - Pretoria","2525DB00285","Borehole","-25.55067","25.76640","Boring Branch Number","066991"
"Dept Water - Pretoria","2525DB00285","Borehole","-25.55067","25.76640","NGDB-Number","2525DB00285"
"Dept Water - Pretoria","2525DA00049","Borehole","-25.55066","25.71638","Boring Branch Number","084838"
"Dept Water - Pretoria","2525DA00049","Borehole","-25.55066","25.71638","NGDB-Number","2525DA00049"
