"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","DepthDiameter_MeasurementDate","DepthDiameter_DepthToBottom","DepthDiameter_DepthQualifier","DepthDiameter_Diameter"
"Dept Water - Pretoria","2525DB00183","Borehole","-25.55060","25.98298","1988-09-27","198.00","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2525DB00184","Borehole","-25.55060","25.98299","1988-09-29","96.00","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2526CA00231","Borehole","-25.55060","26.06634","1962-12-18","71.63","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00232","Borehole","-25.55060","26.06635","1963-01-15","71.63","Measured during Construction","152 mm (6.0")"
"Dept Water - North West","2526CA00660","Borehole","-25.55060","26.08300","1900-01-01","17.94","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DA00051","Borehole","-25.55059","25.71632","",,,""
"Dept Water - Pretoria","2525DB00268","Borehole","-25.55059","25.76632","",,,""
"Dept Water - Pretoria","2525DB00052","Borehole","-25.55059","25.86576","1900-01-01","25.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00051","Borehole","-25.55059","25.86577","1900-01-01","22.47","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00050","Borehole","-25.55059","25.86578","1900-01-01","16.49","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00054","Borehole","-25.55059","25.86579","",,,""
"Dept Water - Pretoria","2525DB00055","Borehole","-25.55059","25.86580","1900-01-01","17.79","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00182","Borehole","-25.55059","25.98298","1988-06-06","85.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00306","Borehole","-25.55059","25.98299","1987-02-20","102.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00307","Borehole","-25.55059","25.98299","1983-04-30","40.00","Measured during Construction","254 mm (10.0")"
"Dept Water - Pretoria","2526CA00530","Borehole","-25.55043","26.02925","1988-01-01","130.00","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","2525DB00005","Borehole","-25.55038","25.92716","","70.00","Measured during Construction","127 mm (5.0")"
"Dept Water - Pretoria","2525DA00112","Borehole","-25.55031","25.73262","1900-01-01","42.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DA00113","Borehole","-25.55031","25.73286","1900-01-01","34.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","007098","Borehole","-25.54976","26.05078","1952-06-06","55.17","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00728","Borehole","-25.54921","26.05800","1992-01-06","60.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00025","Borehole","-25.54892","25.99353","1945-01-01","33.50","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00024","Borehole","-25.54836","25.99187","1900-01-01","23.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00366","Borehole","-25.54782","26.00078","1900-01-01","20.96","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00367","Borehole","-25.54782","26.00105","1900-01-01","20.95","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00382","Borehole","-25.54782","26.00244","1900-01-01","23.36","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00368","Borehole","-25.54698","26.00078","1900-01-01","21.86","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00383","Borehole","-25.54698","26.00161","1900-01-01","23.30","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00393","Borehole","-25.54698","26.00522","1987-01-01","36.60","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DA00103","Borehole","-25.54690","25.67715","1900-01-01","29.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DA00102","Borehole","-25.54690","25.67798","1900-01-01","36.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00540","Borehole","-25.54673","26.06934","1970-01-10","26.20","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00053","Borehole","-25.54670","25.87076","1900-01-01","24.64","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00534","Borehole","-25.54656","26.06703","1900-01-01","27.00","Measured during Construction","165 mm (6.5")"
